variable;code;factors;frequency;seas_adj;deflate;source;transformation_id
ipca_MS;4466;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipca_DP;16122;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipca_EXFE;28751;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipca_P55;28750;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipca_difusao;21379;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipca_industriais_subjacentes;29684;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipca_servicos_subjacentes;29683;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipca15;7478;['Global', 'Prices'];Monthly;0;N/A;sgs;0
igpm;189;['Global', 'Prices'];Monthly;0;N/A;sgs;0
igpdi;190;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipcbr;191;['Global', 'Prices'];Monthly;0;N/A;sgs;0
incc;192;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipc_fipe;193;['Global', 'Prices'];Monthly;0;N/A;sgs;0
igp10;7447;['Global', 'Prices'];Monthly;0;N/A;sgs;0
ipam;7450;['Global', 'Prices'];Monthly;0;N/A;sgs;0
abras;28549;['Global', 'Output'];Monthly;1;N/A;sgs;3
prod_total_autoveiculos;28527;['Global', 'Output'];Monthly;1;N/A;sgs;3
vendas_total_autoveiculos;28528;['Global', 'Output'];Monthly;1;N/A;sgs;3
vendas_autoveiculos_interno;28529;['Global', 'Output'];Monthly;1;N/A;sgs;3
vendas_autoveiculos_externo;28530;['Global', 'Output'];Monthly;1;N/A;sgs;3
prod_automoveis_e_comerciais_leves;1374;['Global', 'Output'];Monthly;0;N/A;sgs;13
prod_caminhoes;1375;['Global', 'Output'];Monthly;0;N/A;sgs;3
prod_onibus;1376;['Global', 'Output'];Monthly;0;N/A;sgs;3
prod_oleo_bruto;1389;['Global', 'Output'];Monthly;0;N/A;sgs;3
prod_LGN;1390;['Global', 'Output'];Monthly;0;N/A;sgs;3
prod_gas_natural;1392;['Global', 'Output'];Monthly;0;N/A;sgs;3
consumo_gasolina;1393;['Global', 'Output'];Monthly;0;N/A;sgs;3
consumo_GLP;1394;['Global', 'Output'];Monthly;0;N/A;sgs;3
consumo_oleo_combustivel;1395;['Global', 'Output'];Monthly;0;N/A;sgs;3
consumo_diesel;1396;['Global', 'Output'];Monthly;0;N/A;sgs;3
consumo_demais_derivados;1397;['Global', 'Output'];Monthly;0;N/A;sgs;3
consumo_alcool_hidratado;1399;['Global', 'Output'];Monthly;0;N/A;sgs;3
consumo_alcool_anidro;1400;['Global', 'Output'];Monthly;0;N/A;sgs;3
prod_aco_bruto;28546;['Global', 'Output'];Monthly;1;N/A;sgs;3
desembolso_BNDES_ind_transformacao;7416;['Global', 'Output'];Monthly;0;0;sgs;13
desembolso_BNDES_comercio_servicos;7417;['Global', 'Output'];Monthly;0;0;sgs;13
desembolso_BNDES_agro;7418;['Global', 'Output'];Monthly;0;0;sgs;3
desembolso_BNDES_ind_extrativa;7419;['Global', 'Output'];Monthly;0;0;sgs;13
cni_nuci_transformacao;28554;['Global', 'Output'];Monthly;1;N/A;sgs;3
cni_vendas_industriais;28555;['Global', 'Output'];Monthly;1;1;sgs;3
cni_horas_trabalhadas;28556;['Global', 'Employment'];Monthly;1;N/A;sgs;3
cni_salario_industria;28559;['Global', 'Employment'];Monthly;1;1;sgs;3
cni_massa_salarial;28560;['Global', 'Employment'];Monthly;1;1;sgs;3
fenabrave_automoveis;7384;['Global', 'Output'];Monthly;0;N/A;sgs;3
fenabrave_comerciais_leves;7385;['Global', 'Output'];Monthly;0;N/A;sgs;3
fenabrave_caminhoes;7386;['Global', 'Output'];Monthly;0;N/A;sgs;3
fenabrave_onibus;7387;['Global', 'Output'];Monthly;0;N/A;sgs;3
fgv_nuci;28561;['Global', 'Output'];Monthly;1;N/A;sgs;0
concessoes_PJ_total;24440;['Global', 'Credit'];Monthly;1;0;sgs;3
concessoes_PF_total;24441;['Global', 'Credit'];Monthly;1;0;sgs;3
concessoes_livres_PJ_total;24443;['Global', 'Credit'];Monthly;1;0;sgs;3
concessoes_livres_PJ_capital_giro;28169;['Global', 'Credit'];Monthly;1;0;sgs;3
concessoes_livres_PF_total;24444;['Global', 'Credit'];Monthly;1;0;sgs;3
concessoes_direcionados_PJ_total;24446;['Global', 'Credit'];Monthly;1;0;sgs;3
concessoes_direcionados_PF_total;24447;['Global', 'Credit'];Monthly;1;0;sgs;3
concessoes_direcionados_credito_rural;28172;['Global', 'Credit'];Monthly;1;0;sgs;3
tjlp;256;['Global', 'Credit'];Monthly;0;N/A;sgs;1
selic_mensal;4189;['Global', 'Credit'];Monthly;0;N/A;sgs;1
abcr_trafego_veiculos_pesados;28553;['Global', 'Output'];Monthly;1;N/A;sgs;3
ivgr;21340;['Global', 'Output'];Monthly;1;N/A;sgs;3
mvgr;25419;['Global', 'Output'];Monthly;0;0;sgs;3
abate_bois;ABATE12_ABQUBO12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
