,0
loading.Employment->caged_estoque_AER,-0.0872270393032927
loading.Global.1->caged_estoque_construcao,-0.12898050108833142
loading.Global.2->caged_estoque_construcao,0.07242960763847123
loading.Employment->caged_estoque_construcao,-0.08440906879678367
loading.Global.1->caged_estoque_comercio,-0.11972119444045613
loading.Global.2->caged_estoque_comercio,0.09742284577189882
loading.Employment->caged_estoque_comercio,-0.1348278036533294
loading.Global.1->caged_estoque_servicos,-0.11425462654638206
loading.Global.2->caged_estoque_servicos,0.11561664427403656
loading.Employment->caged_estoque_servicos,-0.12732190807726598
loading.Global.1->pnadc_salario_real_efetivo,-0.022853351830593976
loading.Global.2->pnadc_salario_real_efetivo,0.06659212735046637
loading.Employment->pnadc_salario_real_efetivo,0.22102777335369442
loading.Global.1->pnadc_salario_real_com_carteira,-0.0003550973792074595
loading.Global.2->pnadc_salario_real_com_carteira,0.04062358774474454
loading.Employment->pnadc_salario_real_com_carteira,0.2480357710594354
loading.Global.1->pnadc_salario_real_sem_carteira,-0.0012152166658208653
loading.Global.2->pnadc_salario_real_sem_carteira,0.039630610057020184
loading.Employment->pnadc_salario_real_sem_carteira,0.20505543514597024
loading.Global.1->pnadc_salario_real_setor_privado,0.0036468687382723458
loading.Global.2->pnadc_salario_real_setor_privado,0.045193608602465206
loading.Employment->pnadc_salario_real_setor_privado,0.24400803875080215
loading.Global.1->pnadc_salario_real_setor_publico,-0.028566449672179438
loading.Global.2->pnadc_salario_real_setor_publico,0.01908894480047489
loading.Employment->pnadc_salario_real_setor_publico,0.2315746589625099
loading.Global.1->pnadc_salario_real_conta_propria,-0.05403079765261511
loading.Global.2->pnadc_salario_real_conta_propria,0.07343670947961811
loading.Employment->pnadc_salario_real_conta_propria,0.16492453767260767
loading.Global.1->pnadc_salario_real_empregadores,-0.009050595570571696
loading.Global.2->pnadc_salario_real_empregadores,0.053778452272352104
loading.Employment->pnadc_salario_real_empregadores,0.21402653917791647
loading.Global.1->pnadc_massa_salarial_efetiva,-0.020421604785227837
loading.Global.2->pnadc_massa_salarial_efetiva,0.004918623745893164
loading.Employment->pnadc_massa_salarial_efetiva,0.013737807726694919
loading.Global.1->pnadc_massa_salarial_habitual,-0.07247438611126486
loading.Global.2->pnadc_massa_salarial_habitual,0.10641503653257013
loading.Employment->pnadc_massa_salarial_habitual,0.0932657268398937
loading.Global.1->renda_disponivel_familias_restrita,-0.055928582627265314
loading.Global.2->renda_disponivel_familias_restrita,0.10492322580660823
loading.Employment->renda_disponivel_familias_restrita,0.18426034026019222
loading.Global.1->tx_desemprego,0.09495622683274947
loading.Global.2->tx_desemprego,-0.09524714941430025
loading.Employment->tx_desemprego,0.04418789835418847
loading.Global.1->ipca_alimentacao,-0.019025939954146903
loading.Global.2->ipca_alimentacao,-0.05818605397273693
loading.Prices->ipca_alimentacao,-0.21226718269957087
loading.Global.1->ipca_alim_domicilio,-0.01297659444816291
loading.Global.2->ipca_alim_domicilio,-0.05343095664261925
loading.Prices->ipca_alim_domicilio,-0.20248491364577764
loading.Global.1->ipca_industriais,-0.026919459601184532
loading.Global.2->ipca_industriais,-0.11773215395804429
loading.Prices->ipca_industriais,-0.1598385522784989
loading.Global.1->ipca_servicos,-0.04128788868280745
loading.Global.2->ipca_servicos,-0.03276917228122519
loading.Prices->ipca_servicos,-0.1546195869310034
loading.Global.1->ipca_administrados,0.0016100684147341315
loading.Global.2->ipca_administrados,-0.014330200817532671
loading.Prices->ipca_administrados,-0.045798009714799685
loading.Global.1->ipca_livres,-0.034885274459474584
loading.Global.2->ipca_livres,-0.0919504882554934
loading.Prices->ipca_livres,-0.2572349361138386
loading.Global.1->ipca_EX0,-0.043483665030681094
loading.Global.2->ipca_EX0,-0.09556662265095514
loading.Prices->ipca_EX0,-0.20108586475940526
loading.Global.1->ipca_EX3,-0.05234395392249904
loading.Global.2->ipca_EX3,-0.08613461827485716
loading.Prices->ipca_EX3,-0.2055054732361039
loading.Global.1->ipca_MS,-0.03318544634042868
loading.Global.2->ipca_MS,-0.08896885283489771
loading.Prices->ipca_MS,-0.23207483942503837
loading.Global.1->ipca_DP,-0.04011738872684622
loading.Global.2->ipca_DP,-0.09911087187445099
loading.Prices->ipca_DP,-0.2465266828473815
loading.Global.1->ipca_P55,-0.03926481189288835
loading.Global.2->ipca_P55,-0.08773984802453116
loading.Prices->ipca_P55,-0.22345474770566165
loading.Global.1->ipca_difusao,-0.03259778590112122
loading.Global.2->ipca_difusao,-0.08953111125134838
loading.Prices->ipca_difusao,-0.23948498378081384
loading.Global.1->ipca_industriais_subjacentes,-0.03121498870580884
loading.Global.2->ipca_industriais_subjacentes,-0.08846414425365699
loading.Prices->ipca_industriais_subjacentes,-0.16809231674337996
loading.Global.1->ipca_servicos_subjacentes,-0.06211815857331233
loading.Global.2->ipca_servicos_subjacentes,-0.05567763846942628
loading.Prices->ipca_servicos_subjacentes,-0.17934421457256342
loading.Global.1->ipca15,-0.03810168001371942
loading.Global.2->ipca15,-0.09031394905269371
loading.Prices->ipca15,-0.19909984822705062
loading.Global.1->igpm,-0.01868703672323059
loading.Global.2->igpm,-0.0950658821040986
loading.Prices->igpm,-0.12094317767916606
loading.Global.1->igpdi,-0.013531136578118165
loading.Global.2->igpdi,-0.08173381430569204
loading.Prices->igpdi,-0.10177633805281475
loading.Global.1->ipcbr,-0.029947984115595603
loading.Global.2->ipcbr,-0.07108826449162185
loading.Prices->ipcbr,-0.17820236040799017
loading.Global.1->incc,-0.04381902147949451
loading.Global.2->incc,-0.09227635514565713
loading.Prices->incc,-0.06536424770774288
loading.Global.1->ipc_fipe,-0.0245285103533528
loading.Global.2->ipc_fipe,-0.08873335288014912
loading.Prices->ipc_fipe,-0.20687260317315256
loading.Global.1->igp10,-0.021219723158217046
loading.Global.2->igp10,-0.09569575222382048
loading.Prices->igp10,-0.11664790615687579
loading.Global.1->ipam,-0.015276561020426514
loading.Global.2->ipam,-0.08861591036310718
loading.Prices->ipam,-0.11230528980884286
loading.Global.1->abras,-0.02482110450471071
loading.Global.2->abras,0.07225078844189428
loading.Output->abras,0.0875950681906911
loading.Global.1->prod_total_autoveiculos,-0.11161911551606309
loading.Global.2->prod_total_autoveiculos,-0.020028482135837328
loading.Output->prod_total_autoveiculos,0.16475420331638063
