variable;frequency;pipeline_id;pipeline;n_steps;n_obs;n_stationary
pmc_vestuário;Monthly;1;diff;1;314;4
pnadc_massa_salarial_efetiva;Monthly;14;yoy_pct_monthly;1;159;3
pnadc_massa_salarial_habitual;Monthly;1;diff;1;170;3
pnadc_salario_real_com_carteira;Monthly;1;diff;1;170;4
pnadc_salario_real_conta_propria;Monthly;1;diff;1;170;3
pnadc_salario_real_efetivo;Monthly;8;sdiff12;1;159;3
pnadc_salario_real_empregadores;Monthly;1;diff;1;170;4
pnadc_salario_real_sem_carteira;Monthly;1;diff;1;170;4
pnadc_salario_real_setor_privado;Monthly;1;diff;1;170;4
pnadc_salario_real_setor_publico;Monthly;1;diff;1;170;4
prod_LGN;Monthly;1;diff;1;363;4
prod_aco_bruto;Monthly;0;nível;0;365;3
prod_automoveis_e_comerciais_leves;Monthly;1;diff;1;365;4
prod_caminhoes;Monthly;1;diff;1;365;4
prod_fertilizante;Monthly;0;nível;0;340;3
prod_gas_natural;Monthly;13;mom_pct;1;363;4
prod_oleo_bruto;Monthly;1;diff;1;363;4
prod_onibus;Monthly;1;diff;1;365;4
prod_total_autoveiculos;Monthly;0;nível;0;293;3
renda_disponivel_familias_restrita;Monthly;1;diff;1;278;4
selic_mensal;Monthly;1;diff;1;365;3
tjlp;Monthly;8;sdiff12;1;354;3
tx_desemprego;Monthly;1;diff;1;170;3
vendas_autoveiculos_externo;Monthly;1;diff;1;256;4
vendas_autoveiculos_interno;Monthly;0;nível;0;257;4
vendas_total_autoveiculos;Monthly;0;nível;0;257;3
