variable;frequency;tid_mensal;pipeline_mensal;votos_mensal;cv_var_mensal;iqr_mensal;steps_mensal;nobs_mensal;tid_anual;pipeline_anual;votos_anual;cv_var_anual;iqr_anual;steps_anual;nobs_anual
ipca15;Monthly;1.0;diff;4.0;0.7576481862965015;1.7623099844554468;1.0;313.0;9;sdiff12→diff;4;0.7400490374218068;1.219371832110876;2;301
ipca_DP;Monthly;1.0;diff;4.0;0.9153022132253321;1.1484395031662051;1.0;365.0;8;sdiff12;4;1.1061305521251525;1.6568049474043502;1;354
ipca_EX0;Monthly;7.0;yeojohnson→diff;4.0;0.4743260776818962;0.6197331614711582;2.0;365.0;9;sdiff12→diff;4;0.43939176064453833;0.563597920322433;2;353
ipca_EX1;Monthly;1.0;diff;4.0;0.5842744632184101;0.879834384959318;1.0;365.0;14;mom_pct_annual_rate;4;3.5387563679668053;9.556964829639117;1;365
ipca_EX2;Monthly;7.0;yeojohnson→diff;4.0;0.6821777251733301;1.2531144082719679;2.0;365.0;8;sdiff12;4;1.0153720962568245;1.7542641814993385;1;354
ipca_EX3;Monthly;13.0;mom_pct;4.0;3.136939735223416;31.26168986525616;1.0;365.0;15;yoy_pct_monthly;4;2.6603405521973666;6.367834476836883;1;354
ipca_EXFE;Monthly;7.0;yeojohnson→diff;4.0;0.5168587982664933;0.7910417661306517;2.0;365.0;15;yoy_pct_monthly;4;2.4916260831984456;2.142685258855585;1;354
ipca_MA;Monthly;6.0;yeojohnson;4.0;0.7402048326867234;1.245392464901268;1.0;366.0;14;mom_pct_annual_rate;4;1.7337906205212812;2.0115290217068553;1;365
ipca_MS;Monthly;13.0;mom_pct;4.0;3.6183127404577875;1.018182342458827;1.0;365.0;15;yoy_pct_monthly;4;3.6009291299857336;1.4102799790691507;1;354
ipca_P55;Monthly;7.0;yeojohnson→diff;4.0;0.5344999079180164;0.9162677248773289;2.0;365.0;9;sdiff12→diff;4;0.7080480768824832;0.6107106783866244;2;353
ipca_administrados;Monthly;13.0;mom_pct;4.0;2.5778842729857065;3.8792055093519684;1.0;365.0;14;mom_pct_annual_rate;4;2.5778842729857065;3.8792055093519684;1;365
ipca_alim_domicilio;Monthly;6.0;yeojohnson;4.0;0.4414788641984592;0.5876178524291126;1.0;366.0;8;sdiff12;4;0.5966548968813264;0.8256095978033187;1;354
ipca_alimentacao;Monthly;6.0;yeojohnson;4.0;0.5633309629137931;0.510444490257141;1.0;366.0;8;sdiff12;4;0.7561289305207958;0.8678514458747486;1;354
